科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4,工学基礎科目,数学,,必修,1,前期／後期,,,C,required,required,required
線形代数学Ⅰ,2,工学基礎科目,数学,,必修,1,前期／後期,,,C,required,required,required
微分積分学および演習Ⅱ,4,工学基礎科目,数学,,選択,1,後期,,,C,,,
線形代数学Ⅱ,2,工学基礎科目,数学,,選択,1,後期,,,C,,,
基礎物理学,2,工学基礎科目,自然科学技術,,必修,1,前期,,,C,required,required,required
物理基礎および物理実験,1,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,C,required,required,required
化学基礎および化学実験,1,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,C,required,required,required
情報リテラシー（数理・データサイエンス入門）,2,工学基礎科目,情報,,必修,1,前期,,,C,required,required,required
コンピュータプログラミングⅠ,2,工学基礎科目,情報,,必修,1,後期,,,C,required,required,required
ワークショップ,2,工学基礎科目,ワークショップ,,必修,1,前期,,,E1,required,required,required
回路基礎,2,専門教育科目,専門科目,電気回路系,必修,1,後期,,,D1,required,required,required
回路理論および演習Ⅰ,4,専門教育科目,専門科目,電気回路系,必修,1,後期,,,D1,required,required,required
電気電子工学基礎実験Ⅰ,2,専門教育科目,専門科目,実験科目,必修,2,前期,,,D2,required,required,required
卒業研究,6,専門教育科目,専門科目,研究科目,必修,4,通年,,,E2,required,required,required
技術英語,1,専門教育科目,専門科目,コミュニケーション科目,必修,3,前期,,,F,required,required,required
総合英語Ⅰ,1,共通教育科目,英語科目,,選択,1,前期,,,,,,
技術者倫理,2,共通教育科目,人間科学科目,技術者教養,選択,"2,3,4",前期／後期,,,B,jabee-required,jabee-required,jabee-required
